nodos_threadpool,cantidad_de_datos,tiempo_en_milisegundos
1,56615,11127.666666666666
1,58440,11521.333333333334
1,60270,12140.666666666666
1,62095,11681.666666666666
1,63920,12225.333333333334
1,65745,12373.666666666666
1,67575,12794.0
1,69400,12904.666666666666
1,71225,12557.0
1,73050,12568.333333333334
1,74880,13723.333333333334
1,76705,13522.0
1,78530,13321.333333333334
1,80355,13788.333333333334
1,82185,13840.0
1,84010,14021.0
1,85835,13839.0
1,87660,14677.333333333334
1,89490,15118.666666666666
1,91315,14225.0
1,93140,14701.0
1,94965,15635.333333333334
1,96795,15241.333333333334
1,98620,15708.666666666666
1,100445,17937.666666666668
1,102270,15913.0
1,104100,17054.0
1,105925,16370.333333333334
1,107750,16756.666666666668
2,56615,11533.666666666666
2,58440,11937.666666666666
2,60270,12005.666666666666
2,62095,11851.666666666666
2,63920,12500.333333333334
2,65745,12921.333333333334
2,67575,12140.333333333334
2,69400,12880.666666666666
2,71225,12781.333333333334
2,73050,13674.0
2,74880,13588.0
2,76705,13965.0
2,78530,14512.666666666666
2,80355,14474.333333333334
2,82185,14211.333333333334
2,84010,14905.333333333334
2,85835,13643.333333333334
2,87660,14463.0
2,89490,14222.333333333334
2,91315,15185.666666666666
2,93140,14730.333333333334
2,94965,14916.0
2,96795,15539.0
2,98620,16049.333333333334
2,100445,15566.0
2,102270,16108.333333333334
2,104100,16256.333333333334
2,105925,16812.0
2,107750,16588.333333333332
3,56615,11544.0
3,58440,11898.333333333334
3,60270,12155.666666666666
3,62095,12196.333333333334
3,63920,12463.333333333334
3,65745,12338.333333333334
3,67575,12956.0
3,69400,12854.666666666666
3,71225,12601.0
3,73050,12933.0
3,74880,13356.666666666666
3,76705,12946.333333333334
3,78530,13253.0
3,80355,13511.0
3,82185,13254.0
3,84010,13550.666666666666
3,85835,14268.666666666666
3,87660,14746.0
3,89490,14408.666666666666
3,91315,14243.333333333334
3,93140,14854.0
3,94965,15259.333333333334
3,96795,15017.0
3,98620,15348.666666666666
3,100445,15199.0
3,102270,15379.0
3,104100,15761.666666666666
3,105925,16068.0
3,107750,16833.0
4,56615,11150.0
4,58440,12068.0
4,60270,12298.0
4,62095,12666.666666666666
4,63920,12708.0
4,65745,12261.666666666666
4,67575,12846.0
4,69400,12820.0
4,71225,13211.666666666666
4,73050,12704.0
4,74880,13046.0
4,76705,13542.666666666666
4,78530,13705.0
4,80355,14094.0
4,82185,13349.666666666666
4,84010,14042.333333333334
4,85835,14454.0
4,87660,13930.333333333334
4,89490,14275.333333333334
4,91315,14419.0
4,93140,15307.333333333334
4,94965,14839.666666666666
4,96795,15324.666666666666
4,98620,15527.666666666666
4,100445,15375.333333333334
4,102270,15589.666666666666
4,104100,16139.333333333334
4,105925,15889.666666666666
4,107750,16563.0
